,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M
125,Maldives,"1,86,526",,314,,"1,63,687",,"22,525",25,"3,44,790",580,"22,13,831"
126,Ghana,"1,71,657",,"1,462",,"1,70,161",,34,2,"5,299",45,"25,36,496"
127,Namibia,"1,71,222",,"4,090",,"1,67,099",,33,,"65,008","1,553","10,62,663"
128,Uganda,"1,70,671",,"3,632",,"1,00,431",,"66,608",3,"3,524",75,"30,12,408"
129,Jamaica,"1,54,874",,"3,536",,"1,02,899",,"48,439",,"51,882","1,185","11,83,986"
130,Cambodia,"1,38,736",,"3,056",,"1,35,677",,3,,"8,081",178,"30,91,420"
131,Rwanda,"1,33,194",,"1,468",,"1,31,647",,79,,"9,793",108,"60,21,981"
132,Cameroon,"1,24,983",,"1,971",,"1,22,807",,205,13,"4,478",71,"17,51,774"
133,Malta,"1,18,574",,835,,"1,17,151",,588,4,"2,67,039","1,880","21,37,285"
134,Barbados,"1,07,566",,589,,"1,06,971",,6,,"3,73,463","2,045","8,01,451"
135,Angola,"1,05,384",,"1,934",,"1,03,419",,31,,"3,009",55,"14,99,795"
136,Channel Islands,"1,01,717",,228,,"1,01,321",,168,,"5,76,421","1,292","12,52,808"
137,French Guiana,"98,041",,420,,"11,254",,"86,367",6,"3,12,065","1,337","6,51,257"
138,DRC,"96,403",,"1,465",,"84,489",,"10,449",,"1,012",15,"8,46,704"
139,Senegal,"88,997",,"1,971",,"87,024",,2,,"5,041",112,"11,46,543"
140,Malawi,"88,728",,"2,686",,"85,651",,391,67,"4,397",133,"6,24,784"
141,Ivory Coast,"88,329",,834,,"87,492",,3,,"3,184",30,"16,90,172"
142,Suriname,"82,495",,"1,404",,N/A,N/A,N/A,,"1,38,222","2,352","2,41,666"
143,New Caledonia,"79,922",,314,,"79,605",,3,9,"2,74,726","1,079","98,964"
144,French Polynesia,"78,518",,649,,N/A,N/A,N/A,7,"2,76,312","2,284",
145,Eswatini,"74,670",,"1,425",,"73,116",,129,,"63,022","1,203","10,48,704"
146,Guyana,"73,198",,"1,298",,"71,880",,20,,"92,184","1,635","7,29,688"
147,Belize,"70,782",,688,,"70,085",,9,6,"1,71,722","1,669","5,76,016"
148,Fiji,"68,921",,883,,"67,029",,"1,009",,"75,782",971,"6,70,903"
149,Madagascar,"68,253",,"1,424",,"66,814",,15,,"2,339",49,"5,30,486"
150,Sudan,"63,993",,"5,046",,"58,656",,291,,"1,391",110,"5,62,941"
151,Mauritania,"63,715",,997,,"62,471",,247,,"12,998",203,"10,09,957"
152,Cabo Verde,"63,702",,414,,"63,139",,149,23,"1,12,215",729,"4,01,622"
